date,       time,     latitude,  sat, longitude, speed, altitude
2018/10/07, 17:08:51, 41.701672, 7,   15.738587, 5.5,   613
2018/10/07, 17:08:52, 41.701653, 7,   15.738560, 11.3,   616
2018/10/07, 17:08:53, 41.701653, 7,   15.738541, 13.4,   620
2018/10/07, 17:08:54, 41.701637, 7,   15.738550, 4.9,   624
2018/10/07, 17:08:55, 41.701599, 7,   15.738581, 6.4,   627
2018/10/07, 17:08:56, 41.701584, 7,   15.738566, 5.6,   625
2018/10/07, 17:08:57, 41.701569, 7,   15.738528, 6.6,   619
2018/10/07, 17:08:58, 41.701557, 7,   15.738496, 3.9,   615
2018/10/07, 17:08:59, 41.701557, 7,   15.738465, 3.8,   611
2018/10/07, 17:09:00, 41.701550, 7,   15.738445, 5.3,   611
2018/10/07, 17:09:01, 41.701538, 7,   15.738408, 8.1,   608
2018/10/07, 17:09:02, 41.701534, 7,   15.738389, 4.8,   607
2018/10/07, 17:09:03, 41.701534, 7,   15.738377, 3.8,   603
2018/10/07, 17:09:04, 41.701530, 7,   15.738366, 4.4,   600
2018/10/07, 17:09:05, 41.701534, 7,   15.738330, 2.6,   596
2018/10/07, 17:09:06, 41.701538, 7,   15.738295, 5.4,   592
2018/10/07, 17:09:07, 41.701538, 7,   15.738250, 6.6,   587
2018/10/07, 17:09:08, 41.701523, 7,   15.738208, 10.5,   584
2018/10/07, 17:09:09, 41.701519, 7,   15.738160, 10.7,   581
2018/10/07, 17:09:10, 41.701530, 7,   15.738106, 9.8,   576
2018/10/07, 17:09:11, 41.701542, 7,   15.738066, 11.4,   572
2018/10/07, 17:09:12, 41.701561, 7,   15.738034, 12.1,   570
2018/10/07, 17:09:13, 41.701584, 7,   15.738004, 12.3,   567
2018/10/07, 17:09:14, 41.701614, 7,   15.737971, 11.9,   563
2018/10/07, 17:09:15, 41.701637, 7,   15.737949, 12.7,   562
2018/10/07, 17:09:16, 41.701660, 7,   15.737931, 11.9,   560
2018/10/07, 17:09:17, 41.701687, 7,   15.737919, 12.0,   559
2018/10/07, 17:09:18, 41.701717, 7,   15.737909, 13.8,   559
2018/10/07, 17:09:19, 41.701744, 7,   15.737900, 13.5,   559
2018/10/07, 17:09:20, 41.701771, 7,   15.737886, 12.9,   559
2018/10/07, 17:09:21, 41.701797, 7,   15.737882, 12.9,   559
2018/10/07, 17:09:22, 41.701824, 7,   15.737877, 12.2,   560
2018/10/07, 17:09:23, 41.701851, 7,   15.737869, 11.0,   560
2018/10/07, 17:09:24, 41.701878, 7,   15.737858, 12.4,   559
